   117/799     1.89G   0.02429    0.1041         0    0.1284       137       320    0.7398    0.9618    0.9648    0.7063   0.02283   0.09147         0
   118/799     1.89G   0.02456    0.1075         0     0.132       125       320    0.7897    0.9752    0.9742    0.7229   0.02142   0.08682         0
   119/799     1.89G   0.02371    0.1041         0    0.1278       216       320    0.8211    0.9675    0.9744    0.7283   0.02238   0.08767         0
   120/799     1.89G   0.02416    0.1064         0    0.1305       102       320    0.7715     0.965    0.9666    0.7179   0.02183   0.08865         0
   121/799     1.89G   0.02387     0.106         0    0.1298       178       320     0.772    0.9713    0.9688    0.7191   0.02217   0.08771         0
   122/799     1.89G   0.02433    0.1088         0    0.1331       144       320    0.7393    0.9739    0.9714     0.725   0.02188   0.08802         0
   123/799     1.89G   0.02383     0.104         0    0.1278       159       320    0.7637    0.9726     0.971    0.7201   0.02201     0.088         0
   124/799     1.89G   0.02456    0.1044         0    0.1289       126       320    0.8031    0.9605    0.9694    0.7135   0.02258   0.09031         0
   125/799     1.89G   0.02344     0.103         0    0.1265       144       320    0.8307     0.949    0.9665    0.7125   0.02346   0.09527         0
   126/799     1.89G   0.02528     0.105         0    0.1303       113       320    0.7736    0.9611    0.9644    0.7056   0.02288   0.09101         0
   127/799     1.89G   0.02469    0.1029         0    0.1276       189       320     0.766    0.9618    0.9642    0.7136   0.02277   0.08966         0
   128/799     1.89G    0.0257    0.1073         0     0.133       159       320    0.7956    0.9541     0.962    0.7136   0.02248   0.08763         0
   129/799     1.89G    0.0244    0.1018         0    0.1262        83       320    0.7815    0.9548    0.9642    0.7126   0.02247   0.08772         0
   130/799     1.89G   0.02501    0.1002         0    0.1252       118       320    0.7923    0.9643    0.9675    0.7156    0.0219   0.08782         0
   131/799     1.89G   0.02317    0.1031         0    0.1263       119       320    0.7608    0.9605    0.9656    0.7187   0.02209   0.09001         0
   132/799     1.89G   0.02361    0.1027         0    0.1263       141       320    0.8073    0.9656    0.9698     0.726   0.02173   0.08689         0
   133/799     1.89G   0.02344   0.09725         0    0.1207       141       320     0.775    0.9637    0.9663    0.7231    0.0222   0.08834         0
   134/799     1.89G   0.02411    0.1039         0    0.1281       135       320     0.796    0.9618    0.9677    0.7294   0.02127   0.08615         0
   135/799     1.89G   0.02248   0.09994         0    0.1224       168       320    0.7591    0.9688    0.9681    0.7268   0.02131   0.08663         0
   136/799     1.89G   0.02342    0.1017         0    0.1251       189       320    0.7274    0.9688    0.9688    0.7105   0.02204   0.09013         0
   137/799     1.89G   0.02372    0.1031         0    0.1269       128       320    0.7648    0.9605    0.9663    0.6973   0.02401    0.0929         0
   138/799     1.89G   0.02236    0.1012         0    0.1236       137       320    0.7912     0.958    0.9673    0.7176   0.02203   0.09095         0
   139/799     1.89G   0.02431    0.1021         0    0.1264       180       320    0.7496    0.9694    0.9664    0.7064   0.02294   0.09005         0
   140/799     1.89G   0.02451    0.1062         0    0.1307       175       320    0.7747    0.9611    0.9655    0.7229   0.02205   0.08697         0
   141/799     1.89G    0.0244    0.1076         0     0.132       160       320    0.8039    0.9548    0.9628    0.7264   0.02205   0.08805         0
   142/799     1.89G   0.02385    0.1011         0     0.125       158       320    0.8124    0.9611    0.9696    0.7354   0.02179   0.08557         0
   143/799     1.89G   0.02275   0.09533         0    0.1181       162       320    0.7835    0.9624    0.9672    0.7313   0.02147   0.08691         0
   144/799     1.89G   0.02294   0.09978         0    0.1227       146       320    0.7743     0.965    0.9666    0.7306   0.02169   0.08807         0
   145/799     1.89G   0.02309    0.1022         0    0.1253       195       320    0.7781    0.9701    0.9696    0.7332   0.02083   0.08414         0
   146/799     1.89G   0.02278    0.1004         0    0.1232       195       320    0.7994     0.958    0.9667    0.7328   0.02169   0.09036         0
   147/799     1.89G   0.02253   0.09789         0    0.1204       261       320    0.7947    0.9662    0.9711    0.7419   0.02142   0.08618         0
   148/799     1.89G   0.02215   0.09761         0    0.1198       181       320    0.7834    0.9618    0.9697    0.7479   0.02107    0.0851         0
   149/799     1.89G   0.02291    0.1001         0     0.123       140       320    0.7813    0.9669    0.9681    0.7386   0.02092   0.08545         0
   150/799     1.89G   0.02362    0.1051         0    0.1288       162       320    0.7242    0.9688    0.9633    0.7088    0.0223   0.09081         0
   151/799     1.89G   0.02357    0.1009         0    0.1244       107       320    0.7762    0.9675    0.9703    0.7347   0.02137   0.08538         0
   152/799     1.89G   0.02375     0.101         0    0.1247       168       320    0.7834    0.9605    0.9667    0.7318   0.02146   0.08666         0
   153/799     1.89G   0.02333    0.1007         0     0.124       127       320    0.7701    0.9592    0.9648    0.7252    0.0218   0.08925         0
   154/799     1.89G   0.02359   0.09988         0    0.1235       208       320    0.8043    0.9631    0.9688    0.7349   0.02149   0.08622         0
   155/799     1.89G    0.0224    0.1024         0    0.1248       294       320    0.7708    0.9573    0.9577    0.7195   0.02166   0.08635         0
   156/799     1.89G   0.02235   0.09564         0     0.118       143       320    0.7867    0.9586    0.9643    0.7202   0.02155   0.08706         0
   157/799     1.89G   0.02271   0.09349         0    0.1162        70       320    0.7998    0.9662    0.9707    0.7366   0.02175   0.08588         0
   158/799     1.89G   0.02184   0.09523         0    0.1171       176       320    0.7714    0.9618     0.967     0.732   0.02087   0.08468         0
   159/799     1.89G   0.02276   0.09937         0    0.1221       263       320    0.7763    0.9682    0.9687    0.7397   0.02105   0.08539         0
   160/799     1.89G   0.02154   0.09507         0    0.1166       207       320    0.8172     0.958    0.9659    0.7389   0.02106   0.08559         0
   161/799     1.89G   0.02228   0.09609         0    0.1184       229       320    0.8294     0.949    0.9672    0.7421   0.02094   0.08642         0
   162/799     1.89G   0.02263    0.1043         0    0.1269       214       320    0.8094     0.958    0.9701    0.7456   0.02074     0.086         0
   163/799     1.89G   0.02203   0.09686         0    0.1189       180       320    0.7947    0.9637     0.969    0.7366   0.02098    0.0858         0
   164/799     1.89G   0.02304   0.09893         0     0.122       226       320     0.803    0.9618    0.9701    0.7367    0.0215   0.08732         0
   165/799     1.89G   0.02202   0.09632         0    0.1183       143       320    0.7983    0.9694     0.975    0.7469   0.02118   0.08548         0
   166/799     1.89G   0.02289     0.103         0    0.1259       191       320    0.7829    0.9701    0.9757    0.7514    0.0207   0.08409         0
   167/799     1.89G   0.02161   0.09343         0     0.115       191       320    0.7822    0.9675    0.9744    0.7541    0.0209   0.08445         0
   168/799     1.89G    0.0218   0.09646         0    0.1183       185       320    0.7691    0.9611    0.9692    0.7416    0.0208   0.08686         0
   169/799     1.89G   0.02232   0.09538         0    0.1177       216       320    0.8149    0.9669    0.9745    0.7472   0.02099   0.08332         0
   170/799     1.89G   0.02113   0.09027         0    0.1114       108       320    0.8074    0.9637    0.9715    0.7467   0.02086   0.08361         0
   171/799     1.89G   0.02336    0.1031         0    0.1265       201       320    0.7634    0.9662    0.9721    0.7483   0.02021   0.08343         0
   172/799     1.89G   0.02217    0.1005         0    0.1227       162       320    0.7871    0.9599    0.9653    0.7447   0.02105   0.08352         0
   173/799     1.89G     0.022    0.0977         0    0.1197       230       320    0.8339    0.9618    0.9732    0.7544   0.02086   0.08339         0
   174/799     1.89G   0.02257    0.1032         0    0.1257       292       320    0.8141    0.9643    0.9749     0.762   0.02052   0.08359         0
   175/799     1.89G   0.02321    0.1044         0    0.1276       267       320    0.8182    0.9669    0.9735    0.7465   0.02044   0.08456         0
   176/799     1.89G    0.0217   0.09771         0    0.1194       152       320    0.7833    0.9707     0.973    0.7491   0.02036   0.08395         0
   177/799     1.89G   0.02165   0.09385         0    0.1155        86       320    0.7869    0.9669    0.9717    0.7488   0.02079   0.08395         0
   178/799     1.89G   0.02115   0.09461         0    0.1158       142       320    0.7887    0.9739    0.9763    0.7544    0.0209   0.08363         0
   179/799     1.89G   0.02222    0.1003         0    0.1225       148       320    0.7979    0.9675    0.9739    0.7508   0.02061    0.0822         0
   180/799     1.89G   0.02181    0.0956         0    0.1174       166       320    0.8313    0.9592    0.9709    0.7505   0.02115   0.08629         0
   181/799     1.89G   0.02254   0.09738         0    0.1199       249       320    0.8095    0.9643    0.9699    0.7432   0.02091    0.0852         0
   182/799     1.89G   0.02141   0.09683         0    0.1182       184       320    0.8205    0.9586     0.967     0.738   0.02129   0.08741         0
   183/799     1.89G   0.02171   0.09618         0    0.1179       172       320    0.8038     0.965     0.969    0.7418   0.02096   0.08683         0
   184/799     1.89G   0.02172   0.09988         0    0.1216       202       320    0.7995     0.965    0.9715    0.7451   0.02115   0.08697         0
   185/799     1.89G   0.02134   0.09393         0    0.1153       163       320    0.8296     0.958    0.9713    0.7544   0.02051   0.08897         0
   186/799     1.89G   0.02166   0.09365         0    0.1153       121       320    0.8125    0.9606    0.9704    0.7477   0.02064   0.08594         0
   187/799     1.89G   0.02148   0.09603         0    0.1175       206       320    0.8231    0.9586      0.97    0.7456   0.02048   0.08543         0
   188/799     1.89G     0.021   0.09363         0    0.1146       107       320    0.8257    0.9599    0.9722    0.7572   0.02002   0.08523         0
   189/799     1.89G   0.02182   0.09634         0    0.1182       143       320    0.8284    0.9611    0.9736    0.7655   0.02043   0.08445         0
   190/799     1.89G   0.02191   0.09468         0    0.1166       130       320     0.808    0.9637    0.9712    0.7447   0.02089   0.08671         0
   191/799     1.89G   0.02073   0.09591         0    0.1166       165       320    0.8223    0.9643    0.9717    0.7468   0.02061   0.08583         0
   192/799     1.89G   0.02143   0.09396         0    0.1154       184       320    0.8118    0.9669    0.9742    0.7514   0.02086   0.08647         0
   193/799     1.89G   0.02135   0.09987         0    0.1212       192       320     0.821    0.9694    0.9785    0.7531   0.02072   0.08391         0
